URL.to.paper	DOI	Journal	Publisher	Title	Author	Year	author_year	BibTeX.citation	Taxonomy
http://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/14-2279.1	10.1890/14-2279.1	ESA Data Archives	Wiley	FishMed: traits, phylogeny, current and projected species distribution of Mediterranean fishes, and environmental data	Albuoy	2015	.albuoy.2015	@article{doi:10.1890/14-2279.1, author = {Albouy, Camille and Lasram, Frida Ben Rais and Velez, Laure and Guilhaumon, François and Meynard, Christine N. and Boyer, Séverine and Benestan, Laura and Mouquet, Nicolas and Douzery, Emmanuel and Aznar, Roland and Troussellier, Marc and Somot, Samuel and Leprieur, Fabien and Le Loc'h, François and Mouillot, David}, title = {FishMed: traits, phylogeny, current and projected species distribution of Mediterranean fishes, and environmental data}, journal = {Ecology}, volume = {96}, number = {8}, pages = {2312-2313}, keywords = {climate change, coastal fishes, functional diversity, Mediterranean fish species, Mediterranean Sea, NEMOMED8, phylogenetic diversity, species distribution models, taxonomic diversity}, doi = {10.1890/14-2279.1}, url = {https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/14-2279.1}, eprint = {https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/14-2279.1}, abstract = {The FishMed database provides traits, phylogeny, current and projected species distribution of Mediterranean fishes, and associated sea surface temperature (SST) from the regional oceanic model NEMOMED8. Data for the current geographical distributions of 635 Mediterranean fish species were compiled from a published expert knowledge atlas of fishes of the northern Atlantic and the Mediterranean (FNAM) edited between 1984 and 1986 and from an updated exotic fish species list. Two future sets of projected species distributions were obtained for the middle and end of the 21st century by using an ensemble forecasting approach for 288 coastal Mediterranean fish species based on SST according to the IPPC/SRES A2 scenario implemented with the Mediterranean climatic model NEMOMED8. The functional part of the database encompasses 12 biological and ecological traits (maximal and common lengths, vertical distribution, habitat, migration type, mode of reproduction, sex shift, semelparity, diet type (larvae and adults), social behavior, species origin, and depth) for the 635 fish species. To build the phylogeny we inferred the timing and geographic origins of Mediterranean teleost species diversity using nucleotide sequences collected from GenBank including 62\% of Mediterranean teleost species plus nine outgroups. Maximum likelihood Bayesian phylogenetic and dating analyses were calibrated using 20 fossil species. An additional 124 fish species were grafted onto the chronogram according to their taxonomic affinity to obtain a phylogenetic tree including 498 species. Finally we also present the associated SST data for the observed period (1961–1980) and for the middle (2040–2059) and the end of the 21st century (2080–2099) obtained from NEMOMED8 according to the IPCC A2 scenario. The FishMed database might be of interest in the context of global anthropogenic changes as coastal Mediterranean ecosystems are currently recognized as one of the most impacted ecosystems on earth.},, year = {2015} } 	Animalia/Chordata
http://onlinelibrary.wiley.com/doi/10.1111/nph.13935/abstract	10.1111/nph.13935	New Phytologist	Wiley	Plasticity in plant functional traits is shaped by variability in neighbourhood species composition	Abakumova	2016	.abakumova.2016	@article {NPH:NPH13935,author = {Abakumova, Maria and Zobel, Kristjan and Lepik, Anu and Semchenko, Marina},title = {Plasticity in plant functional traits is shaped by variability in neighbourhood species composition},journal = {New Phytologist},volume = {211},number = {2},issn = {1469-8137},url = {http://dx.doi.org/10.1111/nph.13935},doi = {10.1111/nph.13935},pages = {455--463},keywords = {biotic environment, competition, functional traits, local adaptation, neighbour recognition, phenotypic plasticity, selection, spatial patterns},year = {2016},note = {2015-20353},}	Plantae
http://onlinelibrary.wiley.com/doi/10.1111/1365-2435.12536/abstract?systemMessage=Pay+per+view+article+purchase%28PPV%29+on+Wiley+Online+Library+will+be+unavailable+on+Saturday+11th+March+from+05%3A00-14%3A00+GMT+%2F+12%3A00-09%3A00+EST+%2F+13%3A00-22%3A00+SGT+for+essential+maintenance.++Apologies+for+the+inconvenience.	10.1111/1365-2435.12536	Functional Ecology	Wiley	Multiple environmental drivers structure plant traits at the community level in a pyrogenic ecosystem	Ames	2015	.ames.2015	@article{ames2015, title={Multiple environmental drivers structure plant traits at the community level in a pyrogenic ecosystem}, author={Ames, Gregory M and Anderson, Steven M and Wright, Justin P}, journal={Functional Ecology}, year={2015}, publisher={Wiley Online Library}}	Plantae
http://onlinelibrary.wiley.com/doi/10.1111/1365-2435.12804/abstract	10.1111/1365-2435.12804	Functional Ecology	Wiley Online Library	Shade tolerance and the functional trait - demography relationship in temperate and boreal forests	Ameztegui	2016	.ameztegui.2016	@article{ameztegui2016,author = {Ameztegui, Aitor and Paquette, Alain and Shipley, Bill and Heym, Michael and Messier, Christian and Gravel, Dominique},title = {Shade tolerance and the functional trait: demography relationship intemperate and boreal forests},journal = {Functional Ecology},issn = {1365-2435},url = {http://dx.doi.org/10.1111/1365-2435.12804},doi = {10.1111/1365-2435.12804},pages = {n/a--n/a},year = {2016}}	Plantae
http://onlinelibrary.wiley.com/doi/10.1111/1365-2435.12772/full	10.1111/1365-2435.12772	Functional Ecology	Wiley	Functional traits in red flour beetles: the dispersal phenotype is associated with leg length but not body size nor metabolic rate	Arnold	2017	.arnold.2017	@article{arnold2017, title={Functional traits in red flour beetles: the dispersal phenotype is associated with leg length but not body size nor metabolic rate}, author={Arnold, Pieter A and Cassey, Phillip and White, Craig R}, journal={Functional Ecology}, publisher={Wiley Online Library}}	Animalia/Arthropoda/Insecta/Coleoptera/Tenebrionoidea/Tenebrionidae/Tribolum_castaneum
http://onlinelibrary.wiley.com/doi/10.1002/ece3.1548/abstract	http://dx.doi.org/10.5061/dryad.qg062	Ecology and Evolution	Wiley	Quantification of correlational selection on thermal physiology, thermoregulatory behavior and energy metabolism in lizards	Artacho	2015	.artacho.2015	@article{artacho2015, title={Quantification of correlational selection on thermal physiology, thermoregulatory behavior, and energy metabolism in lizards}, author={Artacho, Paulina and Saravia, Julia and Ferrandiere, Beatriz Decenciere and Perret, Samuel and Galliard, Le and others}, journal={Ecology and evolution}, volume={5}, number={17}, pages={3600--3609}, year={2015}, publisher={Wiley Online Library}}	Animalia/Reptilia
http://www.jstor.org/stable/10.1086/665653	10.1086/665653	The American Naturalist	JSTOR	Body-Size Evolution on Islands: Are Adult Size Variations in Tiger Snakes a Nonadaptive Consequence of Selection on Birth Size?	Aubret	2012	.aubret.2012a	@article{aubret2012, ISSN = {00030147, 15375323}, URL = {http://www.jstor.org/stable/10.1086/665653}, abstract = {AbstractMean adult size has been used as the traditional measure of body size to explain trends of insular gigantism and dwarfism in a wide array of taxa. However, patterns of variation in body size at birth have received surprisingly little attention, leaving open the possibility that adult body-size differences are nonadaptive consequences of selection acting on neonate body size. Here I used an empirical and correlative approach to test this hypothesis in a mosaic of 12 island and mainland snake populations in Australia. Data collected on 597 adult and 1,084 neonate tiger snakes showed that (1) both adult and neonate mean body sizes varied strongly across populations; (2) prey diversity and size convincingly explained birth-size variations: birth size---notably, gape size---correlated with prey size; (3) neonate snout-vent length was significantly correlated with neonate gape size; and (4) neonate snout-vent length was significantly correlated with adult snout-vent length. Postnatal growth rates recorded under common-garden conditions differed across populations and were correlated with mean prey size. These data collectively suggest that (1) prey size is the main driver for the evolution of body size at birth in gape-limited predators, (2) adult size variations may reflect selective forces acting on earlier life stages, and (3) adult size variations may also reflect resource availability during ontogeny (notably, prey diversity).}, author = {Fabien Aubret and Associate Editor: Scott J. Steppan and Editor: Judith L. Bronstein}, journal = {The American Naturalist}, number = {6}, pages = {756-767}, publisher = {[University of Chicago Press, American Society of Naturalists]}, title = {Body-Size Evolution on Islands: Are Adult Size Variations in Tiger Snakes a Nonadaptive Consequence of Selection on Birth Size?}, volume = {179}, year = {2012}}	Animalia
http://www.jstor.org/stable/10.1086/665653	10.1086/665653	The American Naturalist	JSTOR	Body-Size Evolution on Islands: Are Adult Size Variations in Tiger Snakes a Nonadaptive Consequence of Selection on Birth Size?	Aubret	2012	.aubret.2012b	@article{aubret2012, ISSN = {00030147, 15375323}, URL = {http://www.jstor.org/stable/10.1086/665653}, abstract = {AbstractMean adult size has been used as the traditional measure of body size to explain trends of insular gigantism and dwarfism in a wide array of taxa. However, patterns of variation in body size at birth have received surprisingly little attention, leaving open the possibility that adult body-size differences are nonadaptive consequences of selection acting on neonate body size. Here I used an empirical and correlative approach to test this hypothesis in a mosaic of 12 island and mainland snake populations in Australia. Data collected on 597 adult and 1,084 neonate tiger snakes showed that (1) both adult and neonate mean body sizes varied strongly across populations; (2) prey diversity and size convincingly explained birth-size variations: birth size---notably, gape size---correlated with prey size; (3) neonate snout-vent length was significantly correlated with neonate gape size; and (4) neonate snout-vent length was significantly correlated with adult snout-vent length. Postnatal growth rates recorded under common-garden conditions differed across populations and were correlated with mean prey size. These data collectively suggest that (1) prey size is the main driver for the evolution of body size at birth in gape-limited predators, (2) adult size variations may reflect selective forces acting on earlier life stages, and (3) adult size variations may also reflect resource availability during ontogeny (notably, prey diversity).}, author = {Fabien Aubret and Associate Editor: Scott J. Steppan and Editor: Judith L. Bronstein}, journal = {The American Naturalist}, number = {6}, pages = {756-767}, publisher = {[University of Chicago Press, American Society of Naturalists]}, title = {Body-Size Evolution on Islands: Are Adult Size Variations in Tiger Snakes a Nonadaptive Consequence of Selection on Birth Size?}, volume = {179}, year = {2012}}	Animalia
http://www.jstor.org/stable/10.1086/665653	10.1086/665653	The American Naturalist	JSTOR	Body-Size Evolution on Islands: Are Adult Size Variations in Tiger Snakes a Nonadaptive Consequence of Selection on Birth Size?	Aubret	2012	.aubret.2012c	@article{aubret2012, ISSN = {00030147, 15375323}, URL = {http://www.jstor.org/stable/10.1086/665653}, abstract = {AbstractMean adult size has been used as the traditional measure of body size to explain trends of insular gigantism and dwarfism in a wide array of taxa. However, patterns of variation in body size at birth have received surprisingly little attention, leaving open the possibility that adult body-size differences are nonadaptive consequences of selection acting on neonate body size. Here I used an empirical and correlative approach to test this hypothesis in a mosaic of 12 island and mainland snake populations in Australia. Data collected on 597 adult and 1,084 neonate tiger snakes showed that (1) both adult and neonate mean body sizes varied strongly across populations; (2) prey diversity and size convincingly explained birth-size variations: birth size---notably, gape size---correlated with prey size; (3) neonate snout-vent length was significantly correlated with neonate gape size; and (4) neonate snout-vent length was significantly correlated with adult snout-vent length. Postnatal growth rates recorded under common-garden conditions differed across populations and were correlated with mean prey size. These data collectively suggest that (1) prey size is the main driver for the evolution of body size at birth in gape-limited predators, (2) adult size variations may reflect selective forces acting on earlier life stages, and (3) adult size variations may also reflect resource availability during ontogeny (notably, prey diversity).}, author = {Fabien Aubret and Associate Editor: Scott J. Steppan and Editor: Judith L. Bronstein}, journal = {The American Naturalist}, number = {6}, pages = {756-767}, publisher = {[University of Chicago Press, American Society of Naturalists]}, title = {Body-Size Evolution on Islands: Are Adult Size Variations in Tiger Snakes a Nonadaptive Consequence of Selection on Birth Size?}, volume = {179}, year = {2012}}	Animalia
http://onlinelibrary.wiley.com/doi/10.1002/ece3.1186/abstract	10.1002/ece3.1186	Functional Ecology	Wiley	Wind dispersal is predicted by tree, not diaspore, traits in comparisons of neotropical species	Augspurger	2016	.augspurger.2016a	@article{augspurger2016, title={A trait-based trade-off between growth and mortality: evidence from 15 tropical tree species using size-specific relative growth rates}, volume={4}, number={18}, journal={Ecology and Evolution}, author={Philipson, Cristopher D. and Dent, Daisy H.}, year={2014}, month={Sep}, pages={3675--3688}}	Plantae
